time GYR_X_865 Q_X_865 Q_Y_871 GYR_Y_871 Q_Z_925 GYR_Z_925 UPP_X_865 UPP_Y_871 UPP_Z_925 
sec V V V V V V V V V 
# ai0 ai1 ai2 ai3 ai4 ai5 ai6 ai7 ai8 
181.000000 2.479928933860984230364011 2.546752866448751984052024 2.525337000763523853663628 2.470267644634071224629679 2.490234309654373312525877 2.478801783422318383287575 2.610356393939975205853443 2.627102643328556474955349 2.598762837695544725136187 
181.010000 2.479123826404015851210261 2.534998293207265440685205 2.522921677741407631145876 2.474132160257657364610395 2.497802320409997278716219 2.483793449708647571583242 2.611322523664795447473352 2.624687318789309831146284 2.600212032180369003953047 
181.020000 2.481378127293340174475134 2.546108780221856271452907 2.532743991586167808804930 2.470106623151696823015300 2.484920600181128147454501 2.477996675970798534649475 2.608907199363654783041966 2.629195924625457259082850 2.603432464415615044117658 
181.030000 2.475742375127243821708589 2.537252594859375598446150 2.517930010274766150502046 2.473005009858197933425572 2.481217105800233024837098 2.476869525545208894357074 2.612288653395435922277557 2.624204253885842774707271 2.597796708046245850454170 
181.040000 2.481217105800233024837098 2.538218724148350258218443 2.525820065372206713050218 2.472360923919069808363247 2.481539148786603199425826 2.474454203230330495699718 2.611000480422542402436648 2.622755059184202597322155 2.602788377963405341830594 
181.050000 2.483149363727803038415232 2.553193728857495070627692 2.513743450580719240861072 2.474776246203625795772041 2.477674632991280656568733 2.477996675970798534649475 2.612449675017775696517219 2.619051561673019001830198 2.600856118622258961181615 
181.060000 2.478318718950939469891637 2.534193185481885546295189 2.523726785411502859801658 2.477352590012385391560201 2.491683503176588043714901 2.482666299243806662389034 2.609068220982599939361535 2.620339734710661616645666 2.598118751262034287208280 
181.070000 2.479928933860984230364011 2.553998836676471206885708 2.527108237668972190448358 2.474615224716900208079551 2.503599094839636940434957 2.477674632991280656568733 2.610839458801657908537663 2.625975491872362344025760 2.596025470370922239027323 
181.080000 2.478157697460791286658832 2.529684582292818006976631 2.526947216131324225329990 2.476064418103027353623702 2.493454739720930124491360 2.482827320738316245751776 2.609873329079747339420692 2.624848340424123627201425 2.597796708046245850454170 
181.090000 2.484276514195917773264455 2.542405284466476178550920 2.527591302282863772177279 2.476064418103027353623702 2.491361460170558039806110 2.476869525545208894357074 2.609712307459994384828406 2.624687318789309831146284 2.600212032180369003953047 
181.100000 2.480411998337034518158362 2.538862810344167275644622 2.527269259206777807236222 2.477030547034112295534669 2.487657965646117297353612 2.480089955352845265679207 2.612449675017775696517219 2.623077102450098507802068 2.600534075400991795845584 
181.110000 2.476869525545208894357074 2.544981629330899330909688 2.528718453054137338398277 2.473649095799813846241477 2.482344256255255121601522 2.477191568523170683846502 2.609712307459994384828406 2.626619578417785039192722 2.599728967350644293077266 
